Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"NOS , NOS","b""Leider 'harde' brexiteers wil van May af en stelt leiderschapsvraag na brexit-debat: https://t.co/WrV2PckoCG""",http://nos.nl/l/2259357,no hashtags in this tweet,Thu Nov 15 14:57:53 +0000 2018,1043720,412,8,3
"NOS , NOS",b'63.000 euro voor dakloze die terrorist Melbourne met winkelwagentje aanviel https://t.co/oU5Uc09SY0',https://nos.nl/l/2258883,no hashtags in this tweet,Sun Nov 11 18:32:41 +0000 2018,1043720,412,16,61
"NOS , NOS",b'AIVD: terroristische dreiging tegen het Westen verdwijnt komende jaren niet https://t.co/9LDmzL0nOj',https://nos.nl/l/2258027,no hashtags in this tweet,Mon Nov 05 14:01:15 +0000 2018,1043720,412,54,19
"NOS , NOS",b'Het gaat goed met het leeuwtje dat een maand geleden door een hardloper werd gevonden in een hondenbench in een wei\\u2026 https://t.co/u7266HMvtz',https://twitter.com/i/web/status/1059073226414940166,no hashtags in this tweet,Sun Nov 04 13:21:48 +0000 2018,1043720,412,44,270
"NOS , NOS",b'KNVB: hardere maatregelen tegen vuurwerk op tribunes https://t.co/zLeQZWHQb3',https://nos.nl/l/2257670,no hashtags in this tweet,Sat Nov 03 10:18:07 +0000 2018,1043720,412,15,50
"NOS , NOS",b'Een combinatie van harde wind en sterke stroming in de haven van Barcelona zorgde voor een opvallend ongeluk met de\\u2026 https://t.co/tqnQuOzBzn',https://twitter.com/i/web/status/1057732414183800836,no hashtags in this tweet,Wed Oct 31 20:33:53 +0000 2018,1043720,412,38,44
"NOS , NOS",b'Broer van terrorist Salah Abdeslam cel in wegens overval https://t.co/v25mCFwf2N',https://nos.nl/l/2257287,no hashtags in this tweet,Wed Oct 31 17:43:47 +0000 2018,1043720,412,20,14
"NOS , NOS",b'Tiener heeft harddrugs en 69 kilo illegaal vuurwerk in huis https://t.co/mW8mJaN443',https://nos.nl/l/2256179,no hashtags in this tweet,Wed Oct 24 08:42:37 +0000 2018,1043720,412,15,15
"NOS , NOS",b'Verongelukte trein Marokko reed veel te hard https://t.co/rTJxRb5Gqv',https://nos.nl/l/2256073,no hashtags in this tweet,Tue Oct 23 13:38:42 +0000 2018,1043720,412,6,2
"NOS , NOS",b'Aandeel Philips op de beurs hard onderuit  https://t.co/SdDUciLj7s',https://nos.nl/l/2255955,no hashtags in this tweet,Mon Oct 22 16:00:55 +0000 2018,1043720,412,11,1
"NOS , NOS","b""'Extern meldpunt Defensie hard nodig, nu keurt slager zijn eigen vlees' https://t.co/0j2RUhn5k1""",https://nos.nl/l/2254931,no hashtags in this tweet,Mon Oct 15 14:33:51 +0000 2018,1043720,412,6,6
"NOS , NOS",b'OM steeds meer overtuigd van terroristisch motief Syrische messteker https://t.co/XMJYlCqPY8',https://nos.nl/l/2254887,no hashtags in this tweet,Mon Oct 15 09:01:55 +0000 2018,1043720,412,37,35
"NOS , NOS",b'Trump tegen dominee Brunson: we hebben hard onderhandeld https://t.co/QvzAGFGwJL',https://nos.nl/l/2254679,no hashtags in this tweet,Sat Oct 13 19:30:04 +0000 2018,1043720,412,7,6
"NOS , NOS",b'Smartphones en wiet: smokkel in gevangenis blijft hardnekkig probleem https://t.co/b9I9NI5OYo',https://nos.nl/l/2254523,no hashtags in this tweet,Fri Oct 12 15:28:04 +0000 2018,1043720,412,4,5
"NOS , NOS",b'Michael hard op weg naar Florida https://t.co/MHsnwUifnm',https://nos.nl/l/2254253,no hashtags in this tweet,Wed Oct 10 17:23:06 +0000 2018,1043720,412,8,4
"NOS , NOS",b'Schoksgewijze en harde energietransitie kan 160 miljard euro kosten https://t.co/6kh1U95Vgy',https://nos.nl/l/2253904,no hashtags in this tweet,Mon Oct 08 11:03:17 +0000 2018,1043720,412,15,3
"NOS , NOS",b'Twee hardlopers overleden kort na finish halve marathon Wales https://t.co/SoXUFLZaQw',https://nos.nl/l/2253855,no hashtags in this tweet,Mon Oct 08 02:14:59 +0000 2018,1043720,412,8,6
"NOS , NOS",b'Minister wil amputeren paardenstaarten harder aanpakken  https://t.co/VpsjCXRTzo',https://nos.nl/l/2253209,no hashtags in this tweet,Wed Oct 03 13:14:15 +0000 2018,1043720,412,9,26
"NOS , NOS",b'Politie en internetaanbieders gaan samen kinderporno harder aanpakken https://t.co/NQeT84cPbX',https://nos.nl/l/2253008,no hashtags in this tweet,Tue Oct 02 07:35:31 +0000 2018,1043720,412,7,19
"NOS , NOS","b""'Turkije vroeg Duitsland voor staatsbezoek om uitlevering 'terroristen'' https://t.co/7GPFkBrci0""",https://nos.nl/l/2252470,no hashtags in this tweet,Fri Sep 28 13:13:40 +0000 2018,1043720,412,4,1
"NOS , NOS",b'Orkapopulaties dreigen te verdwijnen door hardnekkige giftige stof https://t.co/b2MoZM3bsx',https://nos.nl/l/2252410,no hashtags in this tweet,Fri Sep 28 02:42:48 +0000 2018,1043720,412,16,4
"NOS , NOS","b'Politie verijdelt terroristische aanslag in Nederland, zeven mannen aangehouden https://t.co/xlSlo7Xwc4'",https://nos.nl/l/2252382,no hashtags in this tweet,Thu Sep 27 17:19:35 +0000 2018,1043720,412,156,238
"NOS , NOS",b'Coalitie wil scheefwoners harder aanpakken  https://t.co/XsmZ1w2p0n',https://nos.nl/l/2252154,no hashtags in this tweet,Wed Sep 26 07:58:12 +0000 2018,1043720,412,15,18
"NOS , NOS","b'Meer passagiers op de nationale luchthavens, Maastricht groeit het hardst  https://t.co/S1SRGsVDZq'",https://nos.nl/l/2251969,no hashtags in this tweet,Tue Sep 25 00:42:54 +0000 2018,1043720,412,4,5
"NUnl , NU.nl",b'Politieagent gewond na mogelijke terroristische aanval in Brussel: https://t.co/fjm04v2IzK',https://op.nu.nl/2DxNiUv,no hashtags in this tweet,Tue Nov 20 06:27:54 +0000 2018,1501988,0,11,8
"NUnl , NU.nl",b'Bikkelhard en onoverwinnelijk: Een profiel van toptalent Matthijs de Ligt: https://t.co/VdfpPNyyZ5',https://www.nu.nl/weekend/5572370/bikkelhard-en-onoverwinnelijk-profiel-van-toptalent-matthijs-ligt.html,no hashtags in this tweet,Fri Nov 16 21:06:35 +0000 2018,1501988,0,1,19
"NUnl , NU.nl",b'Beginnend bestuurder rijdt 110 kilometer per uur te hard in Gelderland: https://t.co/xgF8gGXAVa',http://bit.ly/2POML7s,no hashtags in this tweet,Sun Nov 11 12:39:44 +0000 2018,1501988,0,9,14
"NUnl , NU.nl",b'Prins Bernhard verwacht dat F1-race in Zandvoort financieel mogelijk is: https://t.co/Y6LGtoVQeS',http://bit.ly/2CYhVlV,no hashtags in this tweet,Fri Nov 02 17:57:29 +0000 2018,1501988,0,7,38
"NUnl , NU.nl",b'Syri\\xebr aangehouden in Amsterdam voor deelname terroristische organisatie: https://t.co/SOcDRlDCW4',http://bit.ly/2CQYs6p,no hashtags in this tweet,Tue Oct 30 17:28:22 +0000 2018,1501988,0,8,9
"NUnl , NU.nl",b'CNN-baas haalt hard uit naar Trump na reeks bompakketten https://t.co/7uMZwZSkKC',https://www.nu.nl/buitenland/5532479/cnn-baas-haalt-hard-trump-reeks-bompakketten.html,no hashtags in this tweet,Wed Oct 24 20:23:43 +0000 2018,1501988,0,18,32
"NUnl , NU.nl",b'Weerbericht: Herfstige dag met regen en harde wind: https://t.co/zI7lDsduiw',http://bit.ly/2PiFah8,no hashtags in this tweet,Tue Oct 23 03:42:11 +0000 2018,1501988,0,8,7
"NUnl , NU.nl",b'Duitse autoriteiten verijdelen terroristische aanslag door IS: https://t.co/jDhqZUKfma',http://bit.ly/2PIA22V,no hashtags in this tweet,Wed Oct 17 18:25:07 +0000 2018,1501988,0,5,15
"NUnl , NU.nl",b'Update: Dodental als gevolg van de terroristische aanslag op een hogeschool op Krim stijgt. Zeker vijftig mensen zi\\u2026 https://t.co/iNqi5QRMS7',https://twitter.com/i/web/status/1052525982933032961,no hashtags in this tweet,Wed Oct 17 11:45:23 +0000 2018,1501988,0,20,9
"NUnl , NU.nl",b'Zeker tien doden door terroristische aanslag op school in Krim. Dader zou zichzelf hebben opgeblazen. https://t.co/WtGOxpY3L0',https://www.nu.nl/buitenland/5518790/zeker-tien-doden-terroristische-aanslag-school-in-krim.html,no hashtags in this tweet,Wed Oct 17 11:25:37 +0000 2018,1501988,0,5,2
"NUnl , NU.nl",b'Duitse politie houdt rekening met terroristisch motief bij gijzeling in Keulen: https://t.co/GESCuMylLn',http://bit.ly/2yjJymm,no hashtags in this tweet,Mon Oct 15 18:26:01 +0000 2018,1501988,0,11,10
"NUnl , NU.nl",b'Reisadvies VS voor Nederland aangescherpt wegens terroristische dreiging: https://t.co/73ljwquwz0',http://bit.ly/2xTWqPV,no hashtags in this tweet,Wed Oct 03 03:46:45 +0000 2018,1501988,0,9,7
"NUnl , NU.nl",b'Neonazistische terroristengroep Duitse Chemnitz plande meer aanslagen: https://t.co/TTCOOlZ2m4',http://bit.ly/2xPye18,no hashtags in this tweet,Mon Oct 01 16:21:40 +0000 2018,1501988,0,12,13
"NUnl , NU.nl",b'Verdachten terroristische aanslag verbleven op vakantiepark Weert: https://t.co/T157E3ipkQ',http://bit.ly/2xJI9Fk,no hashtags in this tweet,Thu Sep 27 22:17:38 +0000 2018,1501988,0,14,8
"NUnl , NU.nl",b'Zeven aanhoudingen voor voorbereiden terroristische aanslag Nederland: https://t.co/eN77DQmfUd',http://bit.ly/2OVGz9Z,no hashtags in this tweet,Thu Sep 27 17:23:38 +0000 2018,1501988,0,17,24
"NUnl , NU.nl",b'Vermeende topcrimineel Richard R. in verband gebracht met meerdere liquidaties: https://t.co/LGCbjfabfS',http://bit.ly/2DtKgT2,no hashtags in this tweet,Tue Sep 25 12:07:38 +0000 2018,1501988,0,1,1
