Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"DarrenDreger , Darren Dreger","b'A backyard rink builders dream. However, need a good week of temps like this to get it done. Forecast doesn\\u2019t look\\u2026 https://t.co/eo973jQr7F'",https://twitter.com/i/web/status/1065589789318135809,Thu Nov 22 12:56:18 +0000 2018,1070291,1029,2,8
"BestMovieLine , Best Movie Line",b'The Shawshank Redemption https://t.co/e4fV6YgQ2B',no external urls in this tweet,Thu Nov 22 12:45:35 +0000 2018,493176,38,13,29
"globeandmail , The Globe and Mail",b'U.K. security service missed chances to thwart Manchester bombing: committee report https://t.co/hbvbKwZgke https://t.co/aFsaqIbp1B',http://dlvr.it/Qrrkv4,Thu Nov 22 12:45:08 +0000 2018,1732031,557,1,0
"globeandmail , The Globe and Mail",b'Low-lying Vanuatu seeking to sue climate-change culprits https://t.co/Jgrv0pD1sm https://t.co/WRSUZw7xet',http://dlvr.it/Qrrkm7,Thu Nov 22 12:45:07 +0000 2018,1732031,557,3,3
"DarrenDreger , Darren Dreger",b'Happy Thanksgiving. \\U0001f983',no external urls in this tweet,Thu Nov 22 12:44:04 +0000 2018,1070291,1029,4,32
"DepressedDarth , Darth Vader","b""Rey's Ancestry May Be Retconned In Episode IX https://t.co/v4eTGXIChd""",https://goo.gl/6YkRg2,Thu Nov 22 12:39:38 +0000 2018,817375,314,3,9
"globeandmail , The Globe and Mail","b""B.C.'s electoral reform proposal designed by University of Alberta undergrad https://t.co/aUHV0oUpi1 @GlobeBC https://t.co/WdFtA0smlI""",http://dlvr.it/QrrjTq,Thu Nov 22 12:37:05 +0000 2018,1732031,557,0,2
"CBR , Comic Book Resources",b'DC Teases the Death of Another Robin https://t.co/5b0NQLXKNn https://t.co/9t13aHl3k1',https://buff.ly/2BrsvAN,Thu Nov 22 12:31:02 +0000 2018,234940,832,5,18
"BestMovieLine , Best Movie Line",b'Pulp Fiction https://t.co/dNmC3XCoXJ',no external urls in this tweet,Thu Nov 22 12:30:40 +0000 2018,493176,38,47,115
"globeandmail , The Globe and Mail",b'Amtrak train heading to New York from Montreal disabled by separating cars https://t.co/w9IxB8piSf https://t.co/WYjViJGpaD',http://dlvr.it/Qrrh6c,Thu Nov 22 12:29:06 +0000 2018,1732031,557,6,4
"DepressedDarth , Darth Vader",b'Star Wars Explained https://t.co/TZvY05h8Km',no external urls in this tweet,Thu Nov 22 12:16:27 +0000 2018,817375,314,46,115
"BestMovieLine , Best Movie Line",b'500 Days of Summer https://t.co/M4xRtOjV9a',no external urls in this tweet,Thu Nov 22 12:15:43 +0000 2018,493176,38,6,52
"MitaVerms , Ramita Verma","b""RT @DrMLChivers: Kingstonians! #YGK Tomorrow morning, I'm giving Grand Rounds in Obstetrics and Gynaecology in the @queensu Medical School,\\u2026""",no external urls in this tweet,Thu Nov 22 12:09:03 +0000 2018,472,586,16,0
"globeandmail , The Globe and Mail",b'China calls U.S. claims of unfair trade practices \\u2018groundless\\u2019 https://t.co/G8JakWqU5U @GlobeBusiness https://t.co/AsDnXoGGBD',http://dlvr.it/QrrZx3,Thu Nov 22 12:04:06 +0000 2018,1732031,557,2,3
"CBR , Comic Book Resources","b'Bill Maher Doubles Down on Stan Lee, Comic Book Culture Comments https://t.co/wGtkpN6ja3 https://t.co/8RAbQIKhdX'",https://buff.ly/2TzeGHq,Thu Nov 22 12:01:03 +0000 2018,234940,832,2,6
"BestMovieLine , Best Movie Line",b'That 70s Show https://t.co/JuCp2vVTE1',no external urls in this tweet,Thu Nov 22 12:00:36 +0000 2018,493176,38,7,47
"globeandmail , The Globe and Mail",b'Amazon reverses decision to block U.S. store in Australia after backlash https://t.co/k1R9nY0Qx3 @GlobeTechnology https://t.co/AeIvGs7PJw',http://dlvr.it/QrrYs7,Thu Nov 22 11:58:05 +0000 2018,1732031,557,1,1
