TITLE OF ARTICLE,URL OF ARTICLE,SUMMARY,DATE/TIME INFO WAS EXTRACTED
‘FrieslandCampina: zeggen én doen’,https://www.boerderij.nl/Rundveehouderij/Blogs/2018/11/FrieslandCampina-zeggen-en-doen-359506E/,FrieslandCampina presenteert mooie voornemens met de nieuwe strategie voor de komende jaren.,2018-11-15 16:43:19.629919
Wat gaat er mis met de fokkerij op levensduur?,https://www.boerderij.nl/Rundveehouderij/Achtergrond/2018/11/Wat-gaat-er-mis-met-de-fokkerij-op-levensduur-358372E/,10 jaar fokken op levensduur bracht nog geen oudere koe. Schiet de fokkerij tekort?,2018-11-15 16:43:19.632189
Rabobank: 2019 moeilijk en zorgwekkend voor boeren,https://www.boerderij.nl/Home/Nieuws/2018/11/Rabobank-2019-moeilijk-en-zorgwekkend-voor-boeren-359360E/,"Handelsoorlogen, extreem weer en dierziekten bemoeilijken de agrarische productie wereldwijd.",2018-11-15 16:43:19.633000
Kentekenplicht voor trekkers per 2025,https://www.boerderij.nl/Home/Nieuws/2018/11/Kentekenplicht-voor-trekkers-per-2025-359400E/,Alle landbouwvoertuigen moeten vanaf 2025 een kenteken voeren.,2018-11-15 16:43:19.633601
Tijdelijke stop op Nb-vergunning lijkt enige optie,https://www.boerderij.nl/Home/Achtergrond/2018/11/Tijdelijke-stop-op-Nb-vergunning-lijkt-enige-optie-359331E/,Na uitspraak EU-hof over PAS: wachten op Raad van State die moet bepalen wat nog kan en mag.,2018-11-15 16:43:19.634290
"‘Minder vee, minder werk voor OM’",https://www.boerderij.nl/Rundveehouderij/Blogs/2018/11/Minder-vee-minder-werk-voor-OM-358806E/,"Net nu er serieus werk wordt gemaakt van mestafzet, gooit het Openbaar Ministerie olie op het vuur.",2018-11-15 16:43:19.634885
Haal meer melk uit grasland met zwavel,https://www.boerderij.nl/Rundveehouderij/Partner/2018/11/Haal-meer-melk-uit-je-grasland-met-zwavel-358625E/,Bemesten met zwavel levert meer en beter ruwvoer op. Met een meeropbrengst van wel 5 tot 10%!,2018-11-15 16:43:19.635504
Bedrijven zoeken naarstig naar agrarisch personeel,https://www.boerderij.nl/Home/Achtergrond/2018/11/Bedrijven-zoeken-naarstig-naar-agrarisch-personeel-358272E/,In tijden van personeelskrapte is het nog moeilijker mensen te vinden voor agrarische functies.,2018-11-15 16:43:19.636031
Wat meer rust op kunstmestmarkt,https://www.boerderij.nl/Home/Achtergrond/2018/11/Wat-meer-rust-op-kunstmestmarkt-360036E/,De KAS-prijzen stegen in oktober verder door. Tot een niveau van boven € 25.,2018-11-15 16:43:19.636550
Oogst 2018,https://www.boerderij.nl/Akkerbouw/Dossiers/Oogst-2018/,Lees hier speciaal voor jou geselecteerde artikelen en fotoreportages over oogst 2018.,2018-11-15 16:43:19.637142
